"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"1","Abelia biflora","temperate","AM",0,"angiosperm",6.78750009172493,500.333333333333
"3","Abies amabilis","temperate","ECM",0,"gymnosperm",5.86129032604156,2213.48387096774
"4","Abies balsamea","temperate","ECM",0,"gymnosperm",3.48595678178754,1421.74814814815
"5","Abies concolor","temperate","ECM",0,"gymnosperm",5.08333334207742,706.583333333333
"6","Abies fargesii","temperate","ECM",0,"gymnosperm",0.586111102046238,761.666666666667
"8","Abies lasiocarpa","temperate","ECM",0,"gymnosperm",1.36653006764872,1228.88524590164
"9","Abies magnifica","temperate","ECM",0,"gymnosperm",7.4252688680445,899.451612903226
"10","Abies nephrolepis","temperate","ECM",0,"gymnosperm",0.827564109021272,732.307692307692
"11","Abies nordmanniana","temperate","ECM",0,"gymnosperm",8.59583327174187,903
"12","Abies procera","temperate","ECM",0,"gymnosperm",5.36666661749284,1721
"14","Abies spectabilis","tropical","ECM",0,"gymnosperm",5.6208333875984,747
"15","Abuta grandifolia","tropical","AM",0,"angiosperm",25.3736111323039,2827
"16","Abuta panamensis","tropical","AM",0,"angiosperm",26.875,1933
"17","Abuta rufescens","tropical","AM",0,"angiosperm",25.384999926885,1871.4
"18","Acacia albida","tropical","ECM",1,"angiosperm",19.8583332300186,27
"19","Acacia aneura","tropical","ECM",1,"angiosperm",21.6807017315898,347.315789473684
"21","Acacia ataxacantha","tropical","ECM",1,"angiosperm",20.824166627725,328.8
"22","Acacia auriculiformis","tropical","ECM",1,"angiosperm",25.466435165317,1652.55555555556
"23","Acacia bonariensis","tropical","ECM",1,"angiosperm",25.6208333969116,1142
"24","Acacia borleae","tropical","ECM",1,"angiosperm",20.9763889114062,463.666666666667
"25","Acacia brevispica","tropical","ECM",1,"angiosperm",21.2166667381922,691
"26","Acacia burkei","tropical","ECM",1,"angiosperm",21.3005952608018,980.857142857143
"27","Acacia caffra","tropical","ECM",1,"angiosperm",20.1681818727291,755.363636363636
"29","Acacia colletioides","temperate","ECM",1,"angiosperm",17.3875000344382,419.333333333333
"30","Acacia collinsii","tropical","ECM",1,"angiosperm",26.0319443808662,791.333333333333
